@ NAME             %19s "TRACK.OBS0002.P0001"
@ TYPE             %08s "TRACKOBS"
@ TITLE            %08s "no-title"
@ ORIGIN           %17s "5.09.03 Darwin 64"
@ DATE             %08s "26/06/24"
@ TIME             %08s "17.26.05"
*     NUMBER       TURN                  X                 PX                  Y                 PY                  T                 PT                  S                  E 
$         %d         %d                %le                %le                %le                %le                %le                %le                %le                %le 
          1         49    -0.002424143522     -0.01089128683     -0.02789237143     0.001496881241                  0                  0        8.047186378        140.3052687
          1         50     -0.08122474122    -0.001988182284     -0.03101419006   -0.0006816633056                  0                  0        8.047186378        140.3052687
          1         51     -0.03187615676       0.0100521961     -0.01917514262    -0.002529345518                  0                  0        8.047186378        140.3052687
          1         52      0.06777284578     0.006231475939     0.001841352718    -0.003163372137                  0                  0        8.047186378        140.3052687
          1         53      0.06049166629    -0.007420265423      0.02211425591    -0.002259217929                  0                  0        8.047186378        140.3052687
          1         54     -0.04223625726    -0.009365346081      0.03160925392    -0.000266098106                  0                  0        8.047186378        140.3052687
          1         55     -0.07831866081     0.003467121008        0.025803439     0.001849640142                  0                  0        8.047186378        140.3052687
          1         56     0.009171765786      0.01082872106     0.007626782066     0.003080683889                  0                  0        8.047186378        140.3052687
          1         57      0.08219037882     0.001104839253     -0.01429583875     0.002818847656                  0                  0        8.047186378        140.3052687
          1         58      0.02553137169     -0.01036207416      -0.0293573706     0.001191114817                  0                  0        8.047186378        140.3052687
          1         59      -0.0714060612    -0.005479896579     -0.03011690529    -0.001005564444                  0                  0        8.047186378        140.3052687
          1         60     -0.05568449454     0.008048914541     -0.01639406981    -0.002717666565                  0                  0        8.047186378        140.3052687
          1         61      0.04790611927     0.008877586932     0.005199208337     -0.00312398474                  0                  0        8.047186378        140.3052687
          1         62      0.07590811118    -0.004299938921      0.02442292362    -0.002009134835                  0                  0        8.047186378        140.3052687
          1         63     -0.01585812714      -0.0106939433      0.03172494271     6.98629967e-05                  0                  0        8.047186378        140.3052687
          1         64      -0.0825955064   -0.0002140123163      0.02370359409     0.002112306455                  0                  0        8.047186378        140.3052687
          1         65       -0.019017134      0.01060307458     0.004313742647      0.00314246606                  0                  0        8.047186378        140.3052687
          1         66      0.07457055998     0.004690759999     -0.01723253698     0.002648740522                  0                  0        8.047186378        140.3052687
          1         67      0.05050349703     -0.00862224048     -0.03048429855    0.0008720092081                  0                  0        8.047186378        140.3052687
          1         68     -0.05324725656    -0.008331536387     -0.02888144414    -0.001318063245                  0                  0        8.047186378        140.3052687
          1         69     -0.07298489906     0.005105418363     -0.01342980447    -0.002875481878                  0                  0        8.047186378        140.3052687
          1         70      0.02244132163      0.01048647961      0.00850565975    -0.003048543693                  0                  0        8.047186378        140.3052687
          1         71      0.08245468839   -0.0006773106294      0.02644710463    -0.001736745766                  0                  0        8.047186378        140.3052687
          1         72      0.01237518424     -0.01077310336      0.03148245234    0.0004050408053                  0                  0        8.047186378        140.3052687
          1         73     -0.07722486648     -0.00387018256      0.02133774281     0.002351342495                  0                  0        8.047186378        140.3052687
          1         74     -0.04498510547     0.009138614869     0.000949569182     0.003168293051                  0                  0        8.047186378        140.3052687
          1         75      0.05824116172     0.007728764734      -0.0199765788     0.002448504254                  0                  0        8.047186378        140.3052687
          1         76      0.06957249393    -0.005875156249     -0.03125859581    0.0005433293098                  0                  0        8.047186378        140.3052687
          1         77     -0.02886722479     -0.01020986471     -0.02732307894    -0.001615756069                  0                  0        8.047186378        140.3052687
          1         78     -0.08175698229     0.001565587586     -0.01031441155    -0.003001017955                  0                  0        8.047186378        140.3052687
          1         79     -0.00564818323      0.01087009474      0.01172216322    -0.002937828778                  0                  0        8.047186378        140.3052687
          1         80      0.07936934458     0.003024499499      0.02816543128    -0.001445176301                  0                  0        8.047186378        140.3052687
          1         81      0.03916359787    -0.009593617802      0.03088402148    0.0007357274469                  0                  0        8.047186378        140.3052687
          1         82     -0.06283493118    -0.007074315862      0.01873184245     0.002563974899                  0                  0        8.047186378        140.3052687
          1         83     -0.06569576054     0.006606549438    -0.002426709917     0.003158019688                  0                  0        8.047186378        140.3052687
          1         84      0.03510769244     0.009863848951     -0.02249776631     0.002220255229                  0                  0        8.047186378        140.3052687
          1         85      0.08051076086    -0.002441783378     -0.03167175496    0.0002088833355                  0                  0        8.047186378        140.3052687
          1         86    -0.001112088498     -0.01089533923     -0.02545985663    -0.001895372317                  0                  0        8.047186378        140.3052687
          1         87     -0.08097849967    -0.002157123149    -0.007081083262    -0.003092773873                  0                  0        8.047186378        140.3052687
          1         88     -0.03307964266     0.009983628316      0.01480920824    -0.002793232035                  0                  0        8.047186378        140.3052687
